Facility_Name,Reg_No,Address,Facility_Type,Level,Bed_Capacity,County,status,View
A.C.K ST. PAULS MIHUTI DISPENSARY,000xxx,P.O BOX 227-10202 KANGEMA,DISPENSARY,LEVEL 2,0,MURANG'A,Active,
NEEMA MEDICARE MEDICAL CENTRE,000xxx,P.O BOX 59461-00200 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
AMUNG\'ENTI CATHOLIC DISPESARY,002xxx,P.O BOX 75-60600 MAUA,DISPENSARY,LEVEL 2,0,MERU,Active,
LIFOG CENTRE MEDICAL CLINIC,003xxx,P.O BOX 84-80100 MOMBASA,MEDICAL CLINIC,LEVEL 2,0,MOMBASA,Active,
RAPHA JOY MEDICAL CLINIC,004xxx,P.O BOX 244-00221 LAIKIPIA,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
CREDIBLE MEDICAL CENTRE NYAYO STADIUM,004xxx,P.O BOX 205-00202 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
HEALTHOPTION CLINICAL SERVICES,006xxx,P.O BOX 2884-00100 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
ST CATHERINE NAPETET,006xxx,P.O BOX 101-30500 LODWAR,FAITH BASED DISPENSARY,LEVEL 2,0,TURKANA,Active,
SOLOLO NURSING HOME LIMITED,006xxx,P.O BOX 25-60700 MOYALE,NURSING HOME,LEVEL 3A,30,MARSABIT,Active,
HURUMA MEDICAL CLINIC,007xxx,P.O BOX 1840-60200 MERU,MEDICAL CLINIC,LEVEL 2,0,MERU,Active,
ISMIR AFYA GROUP,014xxx,P.O BOX 19246-00100 NAIROBI,NURSING HOME,LEVEL 3A,20,NAIROBI,Active,
BANISA NURSING HOME LTD,014xxx,P.O BOX 371-70300 MANDERA,NURSING HOME,LEVEL 3A,34,MANDERA,Active,
JUWFIAH MEDICAL CENTRE -GESERO,014xxx,P.O BOX 1053-40200 KISII,MEDICAL CENTRE,LEVEL 3B,40,KISII,Active,
MEDSWELLS PHARMACY AND MEDICAL CENTRE,014xxx,P.O BOX 604-40300 HOMABAY,MEDICAL CENTRE,LEVEL 3B,22,HOMA BAY,Active,
NGOO SYA WENDO HEALTHCARE CENTRE,014xxx,P.O BOX 113-90131 TALA,MEDICAL CLINIC,LEVEL 2,0,MACHAKOS,Active,
MERCY HAVEN HOSPITAL LIMITED,014xxx,P.O BOX 212-30301 NANDI HILLS,MEDICAL CENTRE,LEVEL 3B,0,NANDI,Active,
MESPA MEDICAL CENTRE,014xxx,P.O BOX 270- MOIS BRIDGE,MEDICAL CLINIC,LEVEL 2,0,UASIN GISHU,Active,
NESTING FOR HOPE HEALTH SERVICES,014xxx,P.O BOX 1007-30100 ELDORET,MEDICAL CLINIC,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
ST.MARKS ZILIPAH MEDICAL CENTRE MALAVA,014xxx,P.O BOX 155- MALAVA,MEDICAL CENTRE,LEVEL 3B,0,KAKAMEGA,Active,
LAGKARO PREMIER MEDICAL CENTRE,014xxx,P.O BOX 72-70300 MANDERA,NURSING HOME,LEVEL 3A,20,MANDERA,Active,
GRANNY ANNEX MEDICAL CLINIC BONDO,014xxx,P.O BOX 14-40602 BONDO,MEDICAL CLINIC,LEVEL 2,0,SIAYA,Active,
THE HEALCARE HOSPITAL,014xxx,P.O BOX 479-40300 HOMABAY,NURSING HOME,LEVEL 3A,20,HOMA BAY,Active,
DESHLINK MEDICAL CENTRE,015xxx,P.O BOX 78-60600 MERU,MEDICAL CLINIC,LEVEL 2,0,MERU,Active,
SHYNON CLINIC,015xxx,P.O BOX 35138-00100 NAIROBI,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
BOMU MEDICAL CENTRE- WEMA,016xxx,P.O BOX 95683-80106 MOMBASA,MEDICAL CENTRE,LEVEL 3B,0,MOMBASA,Active,
AIC NAMAREY DISPENSARY,016xxx,P.O BOX 261-60500  MARSABIT,FAITH BASED DISPENSARY,LEVEL 2,0,MARSABIT,Active,
JOLISA MEDICAL CLINIC,016xxx,P.O BOX 592-00100 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
EQUATA MEDICAL CENTRE,016xxx,P.O BOX 906-00518 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
KOLOCH BABTIST DISPENSARY,017xxx,P.O BOX 248-50308  SEREM,FAITH BASED DISPENSARY,LEVEL 2,0,NANDI,Active,
SANAR MEDICARE CLINIC,017xxx,P.O BOX 3257-80100 MOMBASA,MEDICAL CLINIC,LEVEL 2,0,KILIFI,Active,
KANYAGIA MEDICAL CLINIC,018xxx,P.O BOX 41-20306 LIMURU,MEDICAL CLINIC,LEVEL 2,0,NAKURU,Active,
CAIRO FAMILY HOSPITAL RUIRU,019xxx,P.O BOX 257-60300 ISIOLO,MEDICAL CENTRE,LEVEL 3B,10,KIAMBU,Active,
SUHEYLA PHARMACEUTICALS & MEDICAL CENTER LIMITED,019xxx,P.O BOX 48- WITU,NURSING HOME,LEVEL 3A,20,LAMU,Active,
JAMALI MEDICAL CLINIC,020xxx,P.O BOX 38-40200 KISII,MEDICAL CLINIC,LEVEL 2,0,KISII,Active,
DOM MUTHAMBI CATHOLIC DISPENSARY,020xxx,P.O BOX 24-60200 MARIMA,DISPENSARY,LEVEL 2,0,MERU,Active,
ST MARYJOSEPH MEDICAL CENTER THIKA,020xxx,P.O BOX 1746-01000 THIKA,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
GLOBAL CARE COTTAGE MEDICAL CENTER,021xxx,P.O BOX 320-60300 ISIOLO,MEDICAL CLINIC,LEVEL 2,0,MERU,Active,
SHAFLIN MEDICAL CLINIC,021xxx,P.O BOX 29-70300 MANDERA,MEDICAL CLINIC,LEVEL 2,0,MANDERA,Active,
MACHAKOS CHILDREN\'S CLINIC LIMITED,021xxx,P.O BOX 722-90100 MACHAKOS,MEDICAL CENTRE,LEVEL 3B,0,MACHAKOS,Active,
JAIRO SOMOEI ADVENTIST HEALTH CENTRE,021xxx,P.O BOX 3059-30100 ELDORET,DISPENSARY,LEVEL 2,0,UASIN GISHU,Active,
MARIENE MEDICAL CENTRE,021xxx,P.O BOX 1534-60200 MERU,MEDICAL CLINIC,LEVEL 2,0,MERU,Active,
ERIPRA HEALTH CARE CLINIC,021xxx,P.O BOX 115-10301 KIRINYAGA,MEDICAL CLINIC,LEVEL 2,0,KIRINYAGA,Active,
DIVINE TALISA HEALTH SERVICES,021xxx,P.O BOX 338-01030 GATUNDU,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
KACHIMED MEDICAL CENTRE,021xxx,P.O BOX 65705-00607 KAMITI,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
EBENEZER OPTIMUM MEDICARE CLINIC,021xxx,P.O BOX 416-01000 THIKA,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
GOLDENLIFE VICTORS HOSPITAL LIMITED,021xxx,P.O BOX 26540-00100 NAIROBI,NURSING HOME,LEVEL 3A,20,NAKURU,Active,
BARAKA ROYAL CLINIC,021xxx,P.O BOX 28-00209 LOITOKITOK,MEDICAL CLINIC,LEVEL 2,0,KAJIADO,Active,
MAA GROUP OF HOSPITALS LTD,021xxx,P.O BOX 31-00511 ONGATA RONGAI,MEDICAL CLINIC,LEVEL 2,0,KAJIADO,Active,
LEMOTIT MEDICAL CLINIC,021xxx,P.O BOX 87-20203 LONDIANI,MEDICAL CLINIC,LEVEL 2,0,KERICHO,Active,
CONNECTION HEALTH SERVICES LIMITED - MALABA TOWN,021xxx,P.O BOX 14-50200 BUNGOMA,MEDICAL CENTRE,LEVEL 3B,25,BUSIA,Active,
SHIPLY MEDICAL SERVICES,021xxx,P.O BOX 180-10101 KARATINA,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
MALKIA WINGS MEDICAL HOSPITAL,021xxx,P.O BOX 6903-00200 NAIROBI,MEDICAL CENTRE,LEVEL 3B,20,NAIROBI,Active,
GONE HEIGHTS MEDICAL CENTER,021xxx,P.O BOX 105889-00101 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
EMPIRE DENTAL CLINIC-PARKLANDS,021xxx,P.O BOX 83891-80100 MOMBASA,DENTAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
SHEBII MEDICAL CENTRE LIMITED,021xxx,P.O BOX 890- NGONG HILLS,MEDICAL CLINIC,LEVEL 2,0,KAJIADO,Active,
KOITABAI MEDICAL CLINIC,021xxx,P.O BOX 61-20303 OL-KALOU,MEDICAL CLINIC,LEVEL 2,0,NYANDARUA,Active,
KIVULI CHILDREN AND MENTAL HEALTH CLINIC,021xxx,P.O BOX 13253-20100 NAKURU,MEDICAL CENTRE,LEVEL 3B,0,NAKURU,Active,
EDMONDS MEDICAL CLINIC,021xxx,P.O BOX 283-20500 NAROK,MEDICAL CLINIC,LEVEL 2,0,NAROK,Active,
MIREMA CURAFA FRANCHISE CLINIC LTD,021xxx,P.O BOX 114-00100 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
UMMU IBTSOM MEDICAL CLINIC,021xxx,P.O BOX 30195-00100 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,MARSABIT,Active,
BARNOS MEDICAL CENTER,021xxx,P.O BOX 174-00100 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
ST.FRANCIS MISSION HOSPITAL-MASIMBA MARKET,022xxx,P.O BOX 467-40202 KEROKA,BASIC HEALTH CENTRE,LEVEL 3B,0,KISII,Active,
MARY HELP OF THE SICK MISSION HOSPITAL-ST.CYRIL AND METHODIUS BRANCH,022xxx,P.O BOX 792-01000 THIKA,DISPENSARY,LEVEL 2,0,KIAMBU,Active,
NAIN RENAL AND SPECIALITY CENTER LIMITED,022xxx,P.O BOX 35934-00200 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
THE COVENANT HOSPITAL LIMITED,022xxx,P.O BOX 429-60202 NKUBU,HOSPITAL LEVEL 4,LEVEL 4,75,MERU,Active,
NYLAHMED HEALTHCARE CENTRE LIMITED,022xxx,P.O BOX 290-00300 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
THE DENTAL CIRCLE LTD,023xxx,P.O BOX 2835-00606 NAIROBI,DENTAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
GUBA HILLS NURSING HOME LIMITED,023xxx,P.O BOX 75-70300 MANDERA,MEDICAL CENTRE,LEVEL 3B,21,MANDERA,Active,
REALE HOSPITAL LIMITED-LANGATA,023xxx,P.O BOX 797-00521 NAIROBI,NURSING HOME,LEVEL 3A,0,NAIROBI,Active,
THE NAIROBI WEST HOSPITAL LIMITED - RUIRU,023xxx,P.O BOX 43375-00100 NAIROBI,HOSPITAL LEVEL 4,LEVEL 4,30,KIAMBU,Active,
JAY COTTAGE MEMORIAL HOSPITAL,023xxx,P.O BOX 14-60400 IKUU,MEDICAL CENTRE,LEVEL 3B,24,THARAKA NITHI,Active,
KANYIMBO HOSPITAL LIMITED,023xxx,P.O BOX 3229-40200 KISII,HOSPITAL LEVEL 4,LEVEL 4,75,KISII,Active,
BONMED HEALTHCARE SERVICES,023xxx,P.O BOX 5210-00521 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
HANBALI HEALTHCARE LIMITED,023xxx,P.O BOX 25-70300 MANDERA,MEDICAL CENTRE,LEVEL 3B,40,MANDERA,Active,
ST.PETER NGONYI DISPENSARY,023xxx,P.O BOX 16-60200 MERU,DISPENSARY,LEVEL 2,0,MERU,Active,
ULTRA DIAGNOSTIC CENTER (UDC) LIMITED,023xxx,P.O BOX 23122-00505 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
